danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.677,0.25,4,-19.903,0,0.231,0.992,0.946,0.101,0.114,65.141,audio_features,6cbx9qX6T6Or2a1pRUvAm2,spotify:track:6cbx9qX6T6Or2a1pRUvAm2,https://api.spotify.com/v1/tracks/6cbx9qX6T6Or2a1pRUvAm2,https://api.spotify.com/v1/audio-analysis/6cbx9qX6T6Or2a1pRUvAm2,68880,4
0.212,0.383,10,-10.071,1,0.0347,0.723,0.0,0.299,0.452,173.79,audio_features,0KOE1hat4SIer491XKk4Pa,spotify:track:0KOE1hat4SIer491XKk4Pa,https://api.spotify.com/v1/tracks/0KOE1hat4SIer491XKk4Pa,https://api.spotify.com/v1/audio-analysis/0KOE1hat4SIer491XKk4Pa,191160,3
0.509,0.727,1,-8.822,0,0.0458,0.161,0.0325,0.991,0.781,74.773,audio_features,4IeAkgYTn7iGXbsPCkGU5r,spotify:track:4IeAkgYTn7iGXbsPCkGU5r,https://api.spotify.com/v1/tracks/4IeAkgYTn7iGXbsPCkGU5r,https://api.spotify.com/v1/audio-analysis/4IeAkgYTn7iGXbsPCkGU5r,346640,4
0.476,0.381,5,-10.238,0,0.0342,0.727,0.0,0.0614,0.33,121.948,audio_features,3gsCAGsWr6pUm1Vy7CPPob,spotify:track:3gsCAGsWr6pUm1Vy7CPPob,https://api.spotify.com/v1/tracks/3gsCAGsWr6pUm1Vy7CPPob,https://api.spotify.com/v1/audio-analysis/3gsCAGsWr6pUm1Vy7CPPob,286920,4
0.557,0.0232,9,-23.453,0,0.0496,0.955,0.00974,0.111,0.246,119.62,audio_features,3CWKx0KS7iq8s2kik4oSMw,spotify:track:3CWKx0KS7iq8s2kik4oSMw,https://api.spotify.com/v1/tracks/3CWKx0KS7iq8s2kik4oSMw,https://api.spotify.com/v1/audio-analysis/3CWKx0KS7iq8s2kik4oSMw,177213,3
0.683,0.733,8,-7.212,1,0.0475,0.231,0.00042,0.1,0.787,138.929,audio_features,1V888fh2JLVzMElr1pEz6Z,spotify:track:1V888fh2JLVzMElr1pEz6Z,https://api.spotify.com/v1/tracks/1V888fh2JLVzMElr1pEz6Z,https://api.spotify.com/v1/audio-analysis/1V888fh2JLVzMElr1pEz6Z,203435,4
0.463,0.382,5,-11.682,1,0.0278,0.897,0.263,0.108,0.638,74.573,audio_features,6Dq2LzijkY9WNPwBGDah4L,spotify:track:6Dq2LzijkY9WNPwBGDah4L,https://api.spotify.com/v1/tracks/6Dq2LzijkY9WNPwBGDah4L,https://api.spotify.com/v1/audio-analysis/6Dq2LzijkY9WNPwBGDah4L,209160,4
0.596,0.313,9,-13.487,1,0.044,0.853,0.201,0.0601,0.489,82.067,audio_features,0S5ZoKKZD3bllkvhEoPimZ,spotify:track:0S5ZoKKZD3bllkvhEoPimZ,https://api.spotify.com/v1/tracks/0S5ZoKKZD3bllkvhEoPimZ,https://api.spotify.com/v1/audio-analysis/0S5ZoKKZD3bllkvhEoPimZ,229573,4
0.291,0.00182,7,-29.584,1,0.0502,0.977,0.923,0.127,0.405,68.893,audio_features,5gFsbxI10eCm40nP6GapHi,spotify:track:5gFsbxI10eCm40nP6GapHi,https://api.spotify.com/v1/tracks/5gFsbxI10eCm40nP6GapHi,https://api.spotify.com/v1/audio-analysis/5gFsbxI10eCm40nP6GapHi,173933,5
0.418,0.29,8,-10.126,0,0.0317,0.78,0.0,0.173,0.505,89.499,audio_features,0cgcD73SD4nFdTK2oKofzW,spotify:track:0cgcD73SD4nFdTK2oKofzW,https://api.spotify.com/v1/tracks/0cgcD73SD4nFdTK2oKofzW,https://api.spotify.com/v1/audio-analysis/0cgcD73SD4nFdTK2oKofzW,182067,4
